daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Wong Jing,"Châu Tinh Trì, Cheung Man, Lưu Đức Hòa, Ngô Mẫn Đạt, ",Phim Hành động,1994,god of gambler's 2,thánh bài 2,Phim Hồng Kong,Phim Hành động
Barry Sonnenfeld,"Tommy Lee Jones and Josh Brolin, Will Smith, ",Phim Hành động,2012,men in black 3,đặc vụ áo đen 3,Phim Mỹ,Phim Hài
Mabrouk El Mechri,"Bruce Willis, Henry Cavill, Sigourney Weaver, ",Phim Hành động,2012,the cold light of day,ánh sáng cuối con đường,Phim Mỹ,Phim Hành động
Châu Hiển Dương,"đậu kiêu, Trương Gia Huy, ",Phim Hành động,2012,nightfall,tội ác tái diễn,Phim Hồng Kong,Phim Hành động
Kenneth Bi,"An Dĩ Hiên, Diêu Thần, Ngô Ngạn Tổ, ",Phim Hành động,2013,control,khống chế,Phim Trung Quốc,Phim Hành động
Kang Je-kyu,"Fan Bingbing, Jang Dong Gun, Joe Odagiri, Kim Hie-won, Kim In-kwon, Kwak Jung-uk, Oh Tae-kung, ",Phim Hành động,2012,my way,chặng đường tôi đi,Phim Trung Quốc,Phim Hành động
Boaz Yakin,"Catherine Chan, Chris Sarandon, Jason Statham, ",Phim Hành động,2012,safe,mật mã sống,Phim Mỹ,Phim Hành động
Mikael Håfström,"50 Cent, Arnold Schwarzenegger, Sylvester Stallone, ",Phim Hành động,2013,escape plan,kế hoạch đào tẩu,Phim Mỹ,Phim Hành động
Wei Tung,"Eric Tsang, Gigi Leung, Hideri Meiken, Jet Li, Keiji Sato, Kwong Kim Yip, Lý Liên Kiệt, Paul Rapovski, Simon Yam, Timmy Ho, ",Phim Hành động,1998,hitman,thiên thần giết chóc,Phim Hồng Kong,Phim Hành động
Kasper Barfoed,"Hannah Murray, John Cusack, Liam Cunningham, Malin Akerman, ",Phim Hành động,2013,the numbers station,trạm số,Phim Mỹ,Phim Hành động
Anders Banke,"Andrey Merzlikin, Evgeniy Tsyganov, Maria Mashkova, ",Phim Hành động,2009,newsmakers,phóng viên vào trận chiến,Phim Mỹ,Phim Hành động
ing Wong,"Chingmy Yau, Jacky Cheung, Jet Li, Lý Liên Kiệt, ",Phim Hành động,1995,high risk,thử đảm uy long,Phim Hồng Kong,Phim Hành động
Chris Nahon,"Bridget fonda, Lý Liên Kiệt, Tcheky karyo, ",Phim Hành động,2001,kiss of the dragon,nụ hôn của rồng,Phim Hồng Kong,Phim Hành động
Dennis Law Sau Yiu,"Thiệu Mỹ Kỳ, ",Phim Hành động,2013,the constable,xung trận,Phim Hồng Kong,Phim Hành động
Xin Xin Xiong,"Kane Kosugi, Mike Morller, Sam Lee, ",Phim Hành động,2013,combat web,uy long nữ cảnh,Phim Trung Quốc,Phim Hành động
