daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Woody Allen,"Colin Firth, Emma Stone, Marcia Gay Harden, ",Phim Hài,2014,magic in the moonlight,phép màu dưới ánh trăng,Phim Mỹ,Phim Hài
Kim Jin Young,"Choi Jin Hyuk, Lee Soon Jae, Park Min Woo, ",Phim Hài,2014,flower grandpa investigation unit,đội điều tra kỳ quái,Phim Hàn Quốc,Phim Hài
David Zucker,"Amanda Bynes, Channing Tatum, Laura Ramsey, ",Phim Hài,2006,she the man,cô ấy là đàn ông,Phim Mỹ,Phim Hài
Francis Veber,"Daniel Auteuil, Gérard Depardieu, Thierry Lhermitte, ",Phim Hài,2001,the closet,tính già hóa non,Phim Mỹ,Phim Hài
Lee Jung sub,"Ji Chang Wook, Park Min young, Yoo Ji Tae, ",Phim Hài,2014,healer,cứu thế,Phim Hàn Quốc,Phim Hài
James Yuen,"Dung Tổ Nhi, Phương Trung Tín, ",Phim Hài,2005,crazy n' the city,thành phố không bình yên,Phim Hồng Kong,Phim Hài
Philippe Falardeau,"Émilien Néron, Mohamed Fellag, Sophie Nélisse, ",Phim Hài,2011,monsieur lazhar,quý ông lazhar,Phim Mỹ,Phim Hài
Dany Boon,"Daniel Prévost, Dany Boon, Michèle Laroque, ",Phim Hài,2006,la maison du bonheur,căn nhà mộng ước,Phim Mỹ,Phim Hài
Ricky Lau,"Lâm Chính Anh, Lâu Nam Quang, Lữ Phương, Ngô Quân Như, Tiền Tiểu Hào, ",Phim Hài,1985,mr vampire,thiên sứ bắt ma,Phim Trung Quốc,Phim Cổ Trang
John Turturro,"John Turturro, Sharon Stone, Woody Allen, ",Phim Hài,2013,fading gigolo,trai bao,Phim Mỹ,Phim Hài
Hoàng Tổ Quyền,"Hác Bá kiệt, Lô Tinh Vũ, Lưu Nghi Vĩ, ",Phim Hài,2004,imperial four treasures,ngự tiền tứ bảo,Phim Trung Quốc,Phim Cổ Trang
Đinh Ngưỡng Quốc,"Khương Nghiên, Trần Hách, Trần Tử Tuyên, Vương Truyền Quân, ",Phim Hài,2015,yi guan xiao chuan,long hổ y quán,Phim Trung Quốc,Phim Cổ Trang
Chu Nảy Lệ,"Cao Vũ Trân:, Diệp Gia Dư, Long Thiệu Hoa, Phó Tử Thuần, Trương Thụy Hàm, ",Phim Hài,2007,thvl1,tế công,Phim Đài Loan,Phim Hài
